,순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,연령등급,장르,러닝타임,감독,개봉월,계절
6,7.0,어메이징 스파이더맨,2012-06-28,41163951235.0,0.0289999999999999,4853123.0,1118.0,92755.0,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세 관람가,액션,136.0,마크 웹,6.0,여름
7,8.0,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,36538823500.0,0.026,4719872.0,713.0,91889.0,한국,한국,(주)쇼박스,청소년 관람불가,범죄,133.0,윤종빈,2.0,겨울
8,9.0,내 아내의 모든 것,2012-05-17,34223620500.0,0.024,4598821.0,563.0,91773.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,멜로/로맨스,121.0,민규동,5.0,봄
9,10.0,연가시,2012-07-05,32175400664.0,0.023,4515833.0,759.0,71928.0,한국,한국,(주)씨제이이엔엠,15세 관람가,드라마,109.0,박정우,7.0,여름
10,11.0,건축학개론,2012-03-22,30222696000.0,0.021,4111068.0,593.0,106067.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,12세 관람가,멜로/로맨스,118.0,이용주,3.0,봄
11,12.0,댄싱퀸,2012-01-18,30130775500.0,0.021,4058225.0,544.0,80987.0,한국,한국,(주)씨제이이엔엠,12세 관람가,코미디,124.0,이석훈,1.0,겨울
12,13.0,부러진 화살,2012-01-18,25878629500.0,0.018,3451025.0,530.0,71560.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,드라마,100.0,정지영,1.0,겨울
13,14.0,맨 인 블랙 3,2012-05-24,27301520070.0,0.019,3379762.0,770.0,69538.0,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세 관람가,액션,106.0,베리 소넨필드,5.0,봄
14,15.0,레미제라블,2012-12-19,23428605500.0,0.016,3210107.0,696.0,33153.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),12세 관람가,드라마,158.0,톰 후퍼,12.0,겨울
15,16.0,26년,2012-11-29,21111878145.0,0.015,2940475.0,611.0,50044.0,한국,한국,"(주)인벤트스톤,영화사청어람(주)",15세 관람가,액션,135.0,조근현,11.0,가을
16,17.0,내가 살인범이다,2012-11-08,20392266000.0,0.0139999999999999,2729798.0,547.0,58409.0,한국,한국,(주)쇼박스,청소년 관람불가,액션,119.0,정병길,11.0,가을
17,18.0,브레이킹 던 part2,2012-11-15,18909583065.0,0.013,2654817.0,665.0,56995.0,미국,미국,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,드라마,115.0,빌 콘돈,11.0,가을
18,19.0,후궁 : 제왕의 첩,2012-06-06,19330302500.0,0.0139999999999999,2636320.0,624.0,69104.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,청소년 관람불가,멜로/로맨스,122.0,김대승,6.0,여름
19,20.0,호빗: 뜻밖의 여정,2012-12-13,21724069066.0,0.015,2605124.0,1028.0,44977.0,미국,"미국,뉴질랜드",워너브러더스 코리아(주),12세 관람가,모험,169.0,피터 잭슨,12.0,겨울
20,21.0,미션임파서블:고스트프로토콜,2011-12-15,19536876000.0,0.0139999999999999,2533735.0,697.0,53514.0,미국,미국,(주)씨제이이엔엠,15세 관람가,액션,132.0,브래드 버드,12.0,겨울
21,22.0,화차,2012-03-08,18459428000.0,0.013,2436438.0,548.0,62643.0,한국,한국,필라멘트픽쳐스,15세 관람가,미스터리,117.0,변영주,3.0,봄
22,23.0,이웃사람,2012-08-22,18088462369.0,0.013,2434269.0,600.0,56752.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,청소년 관람불가,스릴러,115.0,김휘,8.0,여름
23,24.0,007 스카이폴,2012-10-26,17487213000.0,0.012,2376145.0,748.0,51357.0,미국,"미국,영국",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세 관람가,액션,143.0,샘 멘데스,10.0,가을
24,25.0,테이큰 2,2012-09-27,17581098553.0,0.012,2308596.0,682.0,51344.0,프랑스,프랑스,이십세기폭스코리아(주),청소년 관람불가,액션,92.0,올리비에 메가턴,9.0,가을
